BCCCDBBBBCDAAA
AB123 BXCDBBACACADBC
PZ465 BAACDADBBCDADC
PZ595 BCABAAACDBACCC
QG275 ABABCDDBDABBDD
QG496 CDABBDBDBCDDAC
QI886 BCCADBBAADAAAB
QK474 CCCAABBAACBADC
QO614 XXBBDBDACBDBDA
QO704 BACCDAADDCDDBA
QO983 DCDDADABACCBAB
QQ401 BCDCADCBBDDDAA
QS195 ACCCDDCBDDCABC
QV239 BDCCABBDBBDDAD
RC418 BBACADBAADDACA
RD726 ADCBDBCBDBDDAB
RI777 BDCBABDDBCBBBA
RN285 CADDDDDDBDAACA
RQ980 BDCCCBBDBCCDAA
RS945 DDCADDCBBBDBDC
RT198 CBACBDACADDCDB
RT853 CBCBDBBBBDDDDA
RV580 ABBCCABABADABA
RW877 BCBCDCDDDCDACA
RX410 CBBBDBCBBCCAAA
RY103 CAADBBABDDABBA
SB136 CDACACAADBABDD
SC180 BDCBCBDBACABBD
SH135 BCBDDDBDBCBADB
SI707 DCBBDCABCADBDB
SL152 BADBACBADBDBCA
SM609 BCBCDCCABBDCAA
SN210 DBDCCCDBADAABA
SQ412 BBCCBCBDBCDDDA
SQ910 XXXXXXXXXXXXXX
SZ354 BCCCDBBABCDAAB
SZ882 DCCCDDBDBCCCAA
TA728 DACADACBACCBDC
TB447 DDCDACCAADCBCB
TC757 ABCACBBBDDBABA
TE556 CCACBDCCCBDADC
TF805 BADACAABBDBDCA
TI314 BABADAACDBCACA
TK287 ACBBDACDDBBBBB
TM625 DCDCAABDBBCDAB
TN116 CBDCBDABBCBADD
TN927 ADCDDADABAADBA
TP138 BAADADDCCBBDCC
TQ975 CBACAABDDCDDDD
TT178 DCDCABABDBCDDD
TU852 BCCCDBBXXXXXXX
TZ331 BDCCDBCABAACAA
TY329 CABDACBCCBCCDC
UA889 BCCCDBCBBCDAAA
UA988 ABBDACBDDCCCAA
UC251 AAACDBCDBCBCAC
UC805 BBBADDBDBCDAAC
UC844 BBCDDBBABCBABB
UH458 CDCDCDBAADDADC
UY905 AABABBDDAABCDB
UZ194 DBDCDACADCDCDD
VB413 BADAAAADCCDDCA
VB637 BDDABBCBBADABA
VE330 CBAADCBADCACCA
VF835 BCDCCCDCDAABAA
VH611 BBCCDABBADBCAA
VL481 BCCCDBCCDDADAA
VM414 DCCBDAAABDAAAC
VM796 DCDDDDACDCDBDB
VP135 BCCADDBBDCDBDC
VP726 BACCDADBBCDADB
VT718 ADAABCCCDDACBD
VV517 DCBCDCBCBDDABA
VV801 BBCCCDABDCBDAB
VW550 DBBDADADDBBCDA
WG998 BCCBDABBBBBABD
WH234 BBBABACCADADDC
WJ252 AACDCCABBDACDA
WJ311 DBBCBCCDDDCCDA
WJ416 DDCDAXXDBABAAA
WL176 DCBCDBCBBBDDDA
WO354 BDADCDBADDDAAC
WQ912 BACDDDACDCADBD
WS524 AAABCDBCDACDCB
WT961 ACDCCBADACACDD
WV982 DCBDCBCCBCBCBD
WW311 BDBDAAAAABACBB
WW922 ACACCCADCCBAAA
WY672 DAABDCADAACDAC
XE961 BAACADABADDBDB
XM125 ADDBABDACAAACD
XM751 BDBDDBDAACABAA
XN681 BCDDBAABCCBCBC
XQ480 AACBCCBDBDCCAC
XV488 CCBDCABCBDAABB
XZ692 BACCADCBDCDAAC
YA675 BBBBDDDBBABACD
YB161 DCBCABDACCAACD
YJ392 BCADBBBBBCBCAA
YK747 DDAABCCAABCABD
YL577 CDBACAABBDCDCD
YM734 DAADCDAADBACDD
YP949 BCCCACBABDAACA
YP956 DADABBBBABADAD
YQ297 BCCCDBAXXXABCA
YS869 CCCADCADBCBCCB
YT158 ACDAACBBDCCABB
YT415 CDCBABDCADCBBB
YV120 CAADDDBADDBBDB
YW576 ACCCBBDBACDACB
YX247 BCCAADDBBCCABA
YX349 ADCBACCAAAAACD
YY817 BBCCBBACCBBCAA
YZ984 BCCCDBBBACDABB
ZA338 BBDCDBBBCCDAAA
ZI763 DCCCADAABCAAAA
ZN166 BCCDDDDCCCBBCB
ZO273 BACBBCCABBACAB
ZO667 AACBBCDBBDCBBA
ZT531 CACBCADADADBCB
ZT773 AACCCCABBBDAAA
ZX738 ABAXDBBDBDDACA
ZY987 BADCACBCAADADC
ZZ240 ABBCDADDCACDDD
