Év;Hét;Forduló;T13p1;Ny13p1;Eredmények
2018;1;1;0;0;X1222X1X2222XX
2017;51;2;0;0;222XXX22X11121
2017;51;1;0;0;1X111121X121X1
2017;50;2;0;0;21XX1X2122112X
2017;50;1;14;1503735;2111111222X11X
2017;49;2;0;0;22XXX21XXXX1X2
2017;49;1;0;0;11221X12111211
2017;48;2;0;0;112X11X21X1X12
2017;48;1;0;0;1X2X2111112122
2017;47;2;0;0;X2112X2XX2X12X
2017;47;1;57;184570;X221122111211X
2017;46;2;0;0;212XX1X2111X11
2017;46;1;0;0;1X211XXXX21111
2017;45;1;2;3645660;22221211111221
2017;44;2;0;0;1X1222X2XX2X11
2017;44;1;0;0;1X212XX112X1X1
2017;43;2;2;1526335;11X1212X221211
2017;43;1;3;4843425;1211212122211X
2017;42;1;0;0;XX21121X21211X
2017;41;2;0;0;X1122X2X222111
2017;41;1;1;1715120;111X1122X11211
2017;40;2;70;121780;12X22221XX12X1
2017;40;1;0;0;222211XXXX1221
2017;39;2;0;0;22X22X1X2121X2
2017;39;1;1;1636755;22112X22212121
2017;38;2;54;88655;1X1211211111X1
2017;38;1;0;0;21X2221XX21122
2017;37;2;1;10923145;212XX11X2121X2
2017;37;1;0;0;121221XXX212X1
2017;36;2;0;0;1X12X1X1111212
2017;36;1;0;0;1121X2X2X1X2X2
2017;35;2;6;762330;1X111212111222
2017;35;1;0;0;1111XX2X111122
2017;34;2;2;1277190;2X111222121211
2017;34;1;3;520760;1112XX1X1111X2
2017;33;2;13;573750;22111X12122X21
2017;33;1;0;0;1111211122XX1X
2017;32;1;5;219630;111X111111221X
2017;31;2;5;2152065;X11X2111X12X1X
2017;31;1;0;0;111112121X1X2X
2017;30;2;0;0;2212121X1XX11X
2017;30;1;0;0;12X1211X111XXX
2017;29;2;0;0;X2X21211122X11
2017;29;1;1;13975660;22X21X1111X1X2
2017;28;2;0;0;X212XX2X1X2211
2017;28;1;0;0;1X2X212X22222X
2017;27;2;0;0;X1X222X21X1X11
2017;27;1;0;0;2212XXXX221211
2017;26;1;31;43100;X1212111111X21
2017;25;2;1;4382150;12X212111X1211
2017;25;1;1;1212670;2111211X12112X
2017;24;2;14;936460;1X1112121X1XX2
2017;24;1;0;0;X1111X121X1111
2017;23;1;0;0;1X111212X2111X
2017;22;2;0;0;2111X1111X11XX
2017;22;1;0;0;X21X21X11121X2
2017;21;2;48;63305;12112211121112
2017;21;1;1;1060955;X2X12X11112X12
2017;20;2;4;782645;12211X11X21112
2017;20;1;1;37543370;221X2X12122XX2
2017;19;2;0;0;2XXX22121X2211
2017;19;1;0;0;1122111X12X11X
2017;18;2;0;0;1X2X2X11XX11X2
2017;18;1;0;0;121211121X1122
2017;17;2;0;0;1X2X2111X21X21
2017;17;1;0;0;2122X11121112X
2017;16;2;0;0;1X121X1X2111X2
2017;16;1;0;0;2X1XX1X1XX1XX1
2017;15;2;0;0;2XXX11111111X2
2017;15;1;1;6946610;121221X111111X
2017;14;2;0;0;121111X21X1212
2017;14;1;0;0;X211112212X1X1
2017;13;2;1;6747775;11X11XXX2211XX
2017;13;1;0;0;2X222121112X12
2017;12;2;7;717220;111XX12111221X
2017;12;1;0;0;1X2112X22111X2
2017;11;2;10;487080;1111X22X121X21
2017;11;1;0;0;111X2X12X1111X
2017;10;2;1;5125850;112XX112211112
2017;10;1;0;0;2211XX21XX2X11
2017;9;2;1;4987770;2112112121X2X2
2017;9;1;0;0;1121211XX1X212
2017;8;2;10;1262765;X1121X21122212
2017;8;1;0;0;211X1122112XX2
2017;7;2;0;0;X112X2X222X211
2017;7;1;0;0;11122121X12212
2017;6;2;3;1190210;12121211112112
2017;6;1;18;836320;X1122X21111X12
2017;5;2;0;0;X1111111X12221
2017;5;1;0;0;X221XX12XXX222
2017;4;2;0;0;21221X2XXX112X
2017;4;1;0;0;1121X111221XX1
2017;3;2;13;350280;X21X211X221121
2017;3;1;0;0;X1XX1X11121122
2017;2;2;2;2455230;221X21111X2111
2017;2;1;0;0;1X112XX1111221
2017;1;2;5;1771780;21111222X1X11X
2017;1;1;0;0;22X2X11X21XX11
2016;52;2;24;388330;11121212211122
2016;52;1;0;0;11111222XXX2X1
2016;51;1;0;0;11XX21111XXX2X
2016;50;2;0;0;11X1221X121221
2016;50;1;3;2582640;112XX22121X111
2016;49;1;0;0;XX11212X222X21
2016;48;2;1;8495675;X2X1121121121X
2016;48;1;0;0;1X1X1X221X1X12
2016;47;2;1;13311015;11XXXX11122112
2016;47;1;0;0;221X121XXXX21X
2016;46;2;0;0;X212X2X221111X
2016;46;1;0;0;21XXX2XX111211
2016;45;2;28;123335;12X1X21211211X
2016;45;1;1;2364400;1121X111111212
2016;44;2;7;553545;X212111X22X112
2016;44;1;1;5777715;1221X1211XX1X2
2016;43;2;0;0;2X222X11211X11
2016;43;1;1;5561175;1X11112222X111
2016;42;2;0;0;12X1111111XX11
2016;42;1;3;3358515;22221XX1222121
2016;41;2;0;0;1X1XXX112212X2
2016;41;1;0;0;X121X11XX21X22
2016;40;2;1;3054765;11X1112X212221
2016;40;1;36;193470;XXX11121X11112
2016;39;2;0;0;X11X1X12212111
2016;39;1;3;2883855;X1X21121212XX1
2016;38;2;0;0;X211X221X211XX
2016;38;1;0;0;X1X2X2212X1XXX
2016;37;2;2;1742375;211112X1211111
2016;37;1;3;3152410;X11122XX2212XX
2016;36;2;0;0;11211X11122112
2016;36;1;0;0;X1XX211X1111XX
2016;35;2;4;897905;2111121XX2XX22
2016;35;1;1;13187240;12XX1122211211
2016;34;2;0;0;11211X21X1X12X
2016;34;1;0;0;21X1XX11X22XX1
2016;33;2;0;0;12212X111112X1
2016;33;1;9;5791915;2X1X21221X1211
2016;32;2;0;0;21X111X22XX122
2016;32;1;0;0;X21XXX1XXX1112
2016;31;2;0;0;X22222112X21X2
2016;31;1;0;0;12X11111211X21
2016;30;2;0;0;1X111XX12212XX
2016;30;1;0;0;XX2XXX11X1X2X1
2016;29;2;0;0;122XXX12221211
2016;29;1;0;0;21XX11121121XX
2016;28;2;0;0;X11X112XXXXX11
2016;28;1;1;9642410;2111X211X12XX2
2016;27;2;0;0;212112X11X121X
2016;27;1;0;0;12221X111122X2
2016;26;2;0;0;XX1X211111X111
2016;26;1;7;799775;1111111221221X
2016;25;2;0;0;X1X1121112212X
2016;25;1;1;23578790;X22121221X1222
2016;24;2;0;0;X1X21111211X1X
2016;24;1;0;0;2XX121211X1X2X
2016;23;2;0;0;21X2112121X111
2016;23;1;0;0;21111X1121X112
2016;22;2;0;0;12X1211X2X2X21
2016;22;1;0;0;2X11121122X211
2016;21;2;4;7489335;X1121211212111
2016;21;1;0;0;21X211XXXX1111
2016;20;2;0;0;XXX2XX1XXX1X2X
2016;20;1;0;0;21122X22X221X2
2016;19;2;0;0;X1X12221121212
2016;19;1;0;0;111221221121XX
2016;18;2;0;0;2212X12121X21X
2016;18;1;1;7063640;1111111X2X1X11
2016;17;2;0;0;X1X22112X1X1X1
2016;17;1;1;7080855;X1XX2XX11121X1
2016;16;2;0;0;222211X1211212
2016;16;1;41;77835;21111111X21121
2016;15;2;3;6559150;111111221X1112
2016;15;1;0;0;111XX212X12121
2016;14;2;0;0;2122XX22111212
2016;14;1;0;0;11X1X121X1212X
2016;13;2;0;0;21112X11X111X2
2016;13;1;1;4962200;12X211X211112X
2016;12;2;0;0;X1112X21212X1X
2016;12;1;3;3142145;1111X11112XXX2
2016;11;2;0;0;221XX1222X2X1X
2016;11;1;0;0;X1XX11X121212X
2016;10;2;2;2350950;1121111X1XX212
2016;10;1;7;983575;1122XX1X1111X1
2016;9;2;0;0;X2XX111X11X211
2016;9;1;1;9296115;12212112121111
2016;8;2;0;0;222XX11X21X1X1
2016;8;1;1;2757215;X22XXX1211X112
2016;7;2;1;8564995;X11112X212X211
2016;7;1;0;0;1122X1111XX2X2
2016;6;2;3;4836825;1211X112112121
2016;6;1;0;0;222XXX1XX222X1
2016;5;2;0;0;X212XXXXX21XX1
2016;5;1;24;98500;X12211X2111X22
2016;4;2;29;516530;1X11X2XX12X1X1
2016;4;1;0;0;21XX11X12X2121
2016;3;2;0;0;X2X2122X1X1211
2016;3;1;0;0;21X1121121X2X2
2016;2;2;1;21485675;X1111X2X1XX211
2016;2;1;0;0;X21XX11221221X
2016;1;2;0;0;12X22222211122
2016;1;1;0;0;21X1X22X211221
2015;53;2;0;0;1X111122XX112X
2015;53;1;1;5746795;X21X12121X2112
2015;52;1;0;0;1XXX1112111111
2015;51;2;2;11273435;21221112112222
2015;51;1;0;0;122X221X212111
2015;50;2;0;0;2121X111X2XX11
2015;50;1;0;0;1111X211XX2221
2015;49;2;0;0;12X212X22X111X
2015;49;1;1;8254370;1X222112112222
2015;48;2;0;0;111X21XX121X12
2015;48;1;0;0;111222X222X111
2015;47;2;4;5114995;2211221X12X1X1
2015;47;1;0;0;XX222X112211X1
2015;46;2;0;0;1111221112X122
2015;46;1;0;0;2211X1111111X2
2015;45;2;0;0;12X1XX1X212121
2015;45;1;26;285835;11111X21112121
2015;44;2;0;0;2XXX21121111X2
2015;44;1;23;76500;21112221211112
2015;43;2;99;164630;112211X11212X1
2015;43;1;0;0;12XX1111X11X1X
2015;42;2;0;0;212X12211X111X
2015;42;1;0;0;1221121111221X
2015;41;2;1;24141375;1X222121222X11
2015;41;1;0;0;11X1X211221122
2015;40;2;0;0;111X1X2112X11X
2015;40;1;0;0;11211122211212
2015;39;2;0;0;222X22XX111222
2015;39;1;0;0;112111X21X1X11
2015;38;2;3;4039335;21X1221112X221
2015;38;1;0;0;2111211112X2XX
2015;37;2;0;0;212X2111212XX1
2015;37;1;1;2223205;122X11221XX1X2
2015;36;2;10;752605;11111X2112X111
2015;36;1;0;0;X21X122122X112
2015;35;2;1;9949240;1121X2111112X2
2015;35;1;0;0;1X11X1122X12X1
2015;34;2;0;0;2XXX21222X1211
2015;34;1;2;17496525;11111X22XXX111
2015;33;2;0;0;212X2112XX1221
2015;33;1;0;0;XXX1XX1XX11222
2015;32;2;0;0;2112X12112X11X
2015;32;1;0;0;1111121121X211
2015;31;2;0;0;X1222111X21X21
2015;31;1;0;0;2X1XX1122X1112
2015;30;2;0;0;X221X21111X222
2015;30;1;0;0;2X211222X212X1
2015;29;2;0;0;X1XXXX1211X121
2015;29;1;4;2829460;212112X121XX11
2015;28;2;0;0;X111X1X2112X22
2015;28;1;0;0;2X1XXX1X121221
2015;27;2;0;0;1X112X1X11X1XX
2015;27;1;2;3047110;1X11121111112X
2015;26;2;0;0;X11XX12XX21121
2015;26;1;0;0;2X2X1X11111211
2015;25;2;1;8510095;212XX2XX12X1X1
2015;25;1;0;0;1X111X2X2X1212
2015;24;2;0;0;2X21X122211X21
2015;24;1;1;1701700;X2X1XX1X1XX112
2015;23;2;1;4188310;21X122X211XX11
2015;23;1;2;8583265;12111X11X222XX
2015;22;2;0;0;121112211X11X2
2015;22;1;0;0;2X22121111XX2X
2015;21;2;0;0;12111112X211X1
2015;21;1;0;0;11X11111X121XX
2015;20;2;1;41033915;11211X112221X1
2015;20;1;0;0;11121X2X11122X
2015;19;2;0;0;X1211X21X122X2
2015;19;1;0;0;111X1X12X11121
2015;18;2;0;0;11XX22X2211XX1
2015;18;1;0;0;X212212XX2X122
2015;17;2;0;0;1X112XX1111XX1
2015;17;1;1;5932945;11X121XX212211
2015;16;2;0;0;211X211X111X2X
2015;16;1;1;1878270;X11X12111X2212
2015;15;2;1;6581165;X11X22112X111X
2015;15;1;0;0;XX122221111X2X
2015;14;2;39;519890;21X21XX12X2112
2015;14;1;0;0;X1X2XX12121121
2015;13;2;0;0;1X12X1X1211X1X
2015;13;1;0;0;1X1112X2X12111
2015;12;2;0;0;212X21121X1X21
2015;12;1;1;14121985;2112X2XX121122
2015;11;2;0;0;2X121X112X1X1X
2015;11;1;0;0;21X1111111X211
2015;10;2;0;0;21X12X12XX1X1X
2015;10;1;4;2331155;2121121212X122
2015;9;2;0;0;111112X22111XX
2015;9;1;0;0;211111122122X2
2015;8;2;2;2315530;2XX1XXX111X12X
2015;8;1;3;2872655;2XX2X2121X11XX
2015;7;2;0;0;121111221XX222
2015;7;1;6;383150;111211X21X111X
2015;6;2;23;2631810;1222111XX1211X
2015;6;1;0;0;22X1XXX2222211
2015;5;2;0;0;X122X11XX1X211
2015;5;1;0;0;222X11X1XXX222
2015;4;2;0;0;22222XX21221XX
2015;4;1;0;0;X11111X11111X1
2015;3;2;0;0;22212XX22XX222
2015;3;1;0;0;1121X1XX121112
2015;2;2;0;0;X12XX11111XXX1
2015;2;1;0;0;X2X1X12XX21111
2015;1;2;2;4508655;12X2111X121111
2015;1;1;0;0;XX1X1XX1X11211
2014;52;2;0;0;XXX2XX122X2111
2014;52;1;5;1734145;12222121221121
2014;51;2;0;0;1X1XX12XXX1XX2
2014;51;1;56;198770;X1X22211112XX1
2014;50;2;0;0;212XXX1XX22211
2014;50;1;1;9711885;XX1XX211X12112
2014;49;2;0;0;12212X111XX212
2014;49;1;0;0;1X2121X22X2XX1
2014;48;2;52;90680;2111111X121122
2014;48;1;2;5141605;1212121122X211
2014;47;2;0;0;2121X2X12222XX
2014;47;1;0;0;2212211X112122
2014;46;2;108;57400;112211X1X2111X
2014;46;1;0;0;X122111222111X
2014;45;2;1;5213200;2X112111X12X11
2014;45;1;2;1634285;11121X11221X12
2014;44;2;1;3884400;12112112112112
2014;44;1;1;9839945;X2221111XX1111
2014;43;2;0;0;1221111XX121XX
2014;43;1;33;779245;221121111X1222
2014;42;2;0;0;11122X1X11X22X
2014;42;1;0;0;2X2221X1212X2X
2014;41;2;0;0;X1X11XX121X212
2014;41;1;0;0;21211X21111X2X
2014;40;2;2;16032580;1X211X11X21111
2014;40;1;0;0;1XXX2X1X121121
2014;39;2;0;0;21X112122XX2X2
2014;39;1;0;0;X1111X211X12XX
2014;38;2;0;0;XX211X211212XX
2014;38;1;0;0;11111121XXX111
2014;37;2;3;5899850;112111221X1122
2014;37;1;0;0;2112112X112122
2014;36;2;0;0;2211222XX1112X
2014;36;1;17;435520;22211111112221
2014;35;2;0;0;122XXXX22211X2
2014;35;1;6;1717920;11111212X22X11
2014;34;2;0;0;21X1X1XX12X1X2
2014;34;1;0;0;XXX211XXX22122
2014;33;2;1;20908305;X22X211211X211
2014;33;1;0;0;112122X2X2X121
2014;32;2;0;0;21XX222121XX12
2014;32;1;0;0;12XX11X1112X2X
2014;31;2;0;0;XX11X1XX12XXX1
2014;31;1;0;0;X11XX22X2111XX
2014;30;2;4;5723610;12112X11121X21
2014;30;1;0;0;21222112222XX2
2014;29;2;0;0;1121XX1X2XX111
2014;29;1;0;0;X2X22X2111X212
2014;28;2;0;0;2X2X2X1X1XXX1X
2014;28;1;2;16283820;2X2X2X221122X1
2014;27;2;0;0;1XXX11112222X1
2014;27;1;0;0;XX2X112X1XX11X
2014;26;2;0;0;X1122X1121212X
2014;26;1;0;0;21X212X2222212
2014;25;2;0;0;1X11212222211X
2014;25;1;0;0;1XX22XX21X2222
2014;24;2;1;10796225;12211111111221
2014;24;1;0;0;1X12X2XXX1212X
2014;23;2;0;0;111X111XX2122X
2014;23;1;1;30589480;21X2112XX11111
2014;22;2;0;0;X111XX1X1X21XX
2014;22;1;0;0;1X11X2212X11X1
2014;21;2;0;0;X21X1X1XX2122X
2014;21;1;0;0;111X112121XXX1
2014;20;2;0;0;XXX111X111112X
2014;20;1;0;0;X1X2222X11111X
2014;19;2;216;106800;11111121111222
2014;19;1;0;0;111X21X111X111
2014;18;2;0;0;212122212211X1
2014;18;1;0;0;22211222XX1221
2014;17;2;0;0;1X1XX122X12212
2014;17;1;0;0;11X112X1111211
2014;16;2;4;2196625;1XX21221X12211
2014;16;1;0;0;11X112X1X22112
2014;15;2;31;478795;X1111211121211
2014;15;1;0;0;1111212221X121
2014;14;2;0;0;1211X1X2X11211
2014;14;1;6;1946475;11X2211X112112
2014;13;2;0;0;XX12112121XX11
2014;13;1;1;43825380;112X1212111111
2014;12;2;0;0;2211X1222222X2
2014;12;1;0;0;12X1X1X211X22X
2014;11;2;0;0;222X1122221222
2014;11;1;0;0;11X2X1X211122X
2014;10;2;0;0;21XXX222111121
2014;10;1;0;0;221XXXX1221111
2014;9;2;0;0;211XX111XX21X2
2014;9;1;1;25202260;2X2XX111XX2112
2014;8;2;0;0;1X21X22X2X1111
2014;8;1;0;0;22X122122XXX2X
2014;7;2;0;0;11111X2221X121
2014;7;1;0;0;2XX22X1XX12X2X
2014;6;2;13;451480;21X1222111XX1X
2014;6;1;3;3247775;1X22122XX21111
2014;5;2;0;0;1112121X12111X
2014;5;1;0;0;1XX111X1121221
2014;4;2;1;17008970;X12212XX22X1X1
2014;4;1;0;0;12212121122212
2014;3;2;0;0;1112X211121X21
2014;3;1;288;8895;11111211211112
2014;2;2;31;377905;X2111122XX1221
2014;2;1;0;0;1121122X111X11
2014;1;2;0;0;12X12211212X11
2014;1;1;1;2935825;1X112X21X221X2
2013;52;2;35;208360;12X1X121XX1211
2013;52;1;0;0;2221212X11XXX1
2013;51;2;1;17653090;2211XXX121X221
2013;51;1;0;0;212X21111121X2
2013;50;2;0;0;11XXX112211121
2013;50;1;1;8426035;1122112112111X
2013;49;2;0;0;21212222XXX11X
2013;49;1;1;11423190;21121122X21212
2013;48;2;0;0;21XX111XX2XXX1
2013;48;1;7;3076015;11X11222111112
2013;47;2;0;0;2XX1212X2X121X
2013;47;1;0;0;X1211X1X221222
2013;46;2;0;0;X1111121X2XXXX
2013;46;1;1;1674030;21111111X12121
2013;45;2;2;7592625;111121121XX111
2013;45;1;0;0;XXX1X21X111112
2013;44;2;0;0;1221221122122X
2013;44;1;1;2889445;21XXX2X111X2X1
2013;43;2;28;218915;21121211111121
2013;43;1;3;4136515;22222X12111X21
2013;42;2;0;0;112XX1X211111X
2013;42;1;0;0;21X1X21X2X1111
2013;41;2;426;29905;11X22111111X11
2013;41;1;0;0;12212X2221112X
