Év;Név;SzületésHalálozás;Országkód
1920;Krogh, Schack August Steenburger;1874-1949;DK
1930;Landsteiner, Karl;1868-1943;USA
1907;Laveran, Charles Louis Alphonse;1845-1922;F
1958;Lederberg, Joshua;1925-;USA
1986;Levi-Montalcini, Rita;1909-;I
1953;Lipmann, Fritz Albert;1899-;USA
1936;Loewi, Otto;1873-1961;USA
1973;Lorenz, Konrad;1903-;A
1969;Luria, Salvador Edward;1912-;USA
1965;Lwoff, André;1902-;F
1954;Lynen, Feodor;1911-1979;D
1923;MacLeod, John James Richard;1876-1935;USA
1983;McClintock, Barbara;1902-;USA
1908;Mecsnyikov, Ilja Iljics;1845-1916;SU
1960;Medawar, Sir Peter Brian;1915-;GB
1922;Meyerhof, Otto Fritz;1884-1951;USA
1984;Milstein, César;1927-;GB
1934;Minot, George Richards;1885-1950;USA
1949;Moniz, Antonio Caetano De Abren Freire Egas;1874-1955;P
1965;Monod, Jacques;1910-1976;F
1933;Morgan, Thomas Hunt;1866-1945;USA
1946;Muller, Hermann Joseph;1890-1967;USA
1934;Murphy, William Parry;1892-;USA
1948;Müller, Paul Hermann;1899-1965;CH
1978;Nathans, Daniel;1928-;USA
1928;Nicolle, Charles Jules Henri;1866-1936;F
1968;Nirenberg, Marshall Warren;1927-;USA
1959;Ochoa, Severo;1905-;USA
1974;Palade, George Emil;1912-;USA
1904;Pavlov, Ivan Petrovics;1849-1936;SU
1973;Porter, Rodney Robert;1917-;GB
1906;Ramon y Cajal, Santiago;1852-1934;E
1950;Reichstein, Tadeus;1897-;CH
1956;Richards Jr., Dickinson Woodruff;1895-1973;USA
1913;Richet, Charles Robert;1850-1935;F
1954;Robbins, Frederick Chapman;1916-;USA
1902;Ross, Sir Ronald;1857-1932;GB
1966;Rous, Francis Peyton;1879-1970;USA
1982;Samuelsson, Bengt;1934-;S
1977;Schally, Andrew Victor;1926-;GB
1932;Sherrington, Sir Charles Scott;1857-1952;GB
1978;Smith, Hamilton;1931-;USA
1980;Snell, George David;1903-;USA
1935;Spemann, Hans;1869-1941;D
1981;Sperry, Roger Wolcott;1913-;USA
1971;Sutherland, Earl Wilbur;1915-1974;USA
1937;Szent-Györgyi Albert;1893-1986;H
1958;Tatum, Edward Lawrie;1909-1975;USA
1975;Temin, Howard Martin;1934-;USA
1951;Theier, Max;1899-1972;USA
1955;Theorell, Axel Hugo Theodor;1903-1982;S
1973;Tinbergen, Nikolaas;1907-;GB
1987;Tonegava Szuszumu;1939-;J
1982;Vane, John;1927-;GB
1989;Varmus, Harold E.;1933-;USA
1952;Waksman, Selman Abraham;1888-1973;USA
1967;Wald, George;1906-;USA
1931;Warburg, Otto Heinrich;1883-1970;D
1962;Watson, James Dewey;1928-;USA
1954;Weller, Thomas Huckle;1915-;USA
1934;Whipple, George Hoyt;1878-1976;USA
1981;Wiesel, Torsten Nils;1924-;USA
1962;Wilkins, Maurice Hugh Frederick;1916-;GB
1977;Yalow, Sussman Rosalyn;1921-;USA
