id;fajta_id;név_id;életkor;utolsó orvosi ellenőrzés
431;361;61;6;2017.08.07
432;394;230;5;2018.01.16
433;238;111;9;2017.05.19
434;360;31;7;2018.02.12
435;49;282;18;2017.08.08
436;359;68;10;2017.03.26
437;242;208;18;2018.01.25
438;119;168;1;2017.11.15
439;346;83;3;2017.02.27
440;356;141;17;2017.04.11
441;377;190;13;2017.05.17
442;295;45;5;2017.06.27
443;239;224;11;2018.01.22
444;268;39;11;2017.09.19
445;307;206;11;2017.05.14
446;153;173;5;2017.12.14
447;346;74;13;2017.08.10
448;148;181;2;2017.07.03
449;255;140;7;2017.09.26
450;400;86;6;2017.09.18
451;119;89;18;2017.03.28
452;201;22;8;2017.12.04
453;132;63;7;2018.01.11
454;65;172;1;2017.05.24
455;8;195;11;2017.10.27
456;268;252;4;2017.07.19
457;235;113;14;2017.09.22
458;198;103;7;2017.11.05
459;421;238;9;2017.11.19
460;20;3;11;2017.06.29
461;192;195;12;2017.12.01
462;117;217;16;2017.06.07
463;131;53;3;2018.02.23
464;258;200;10;2017.11.04
465;76;228;7;2018.02.15
466;88;19;6;2017.03.30
467;132;171;16;2018.02.11
468;244;7;6;2017.11.30
469;238;218;2;2017.07.06
470;373;103;1;2017.03.28
471;8;257;9;2017.12.12
472;61;161;8;2017.03.09
473;161;218;17;2017.11.08
474;162;34;3;2017.07.21
475;374;125;17;2018.01.23
476;206;134;3;2017.06.19
477;342;169;5;2018.01.20
478;103;113;12;2017.09.22
479;287;255;3;2017.08.26
480;5;69;10;2017.08.20
481;330;7;5;2017.07.07
482;367;57;3;2017.08.01
483;317;116;16;2018.01.04
484;209;63;13;2018.01.24
485;412;67;2;2017.07.12
486;43;262;9;2017.06.23
487;180;41;6;2017.10.26
488;167;198;11;2017.11.29
489;316;54;13;2017.07.29
490;227;284;18;2017.10.27
491;239;150;5;2017.09.19
492;45;201;16;2017.04.01
493;134;243;14;2017.08.21
494;266;34;10;2017.05.06
495;415;135;11;2017.12.06
496;181;175;17;2017.08.08
497;275;211;6;2017.04.07
498;225;259;11;2017.09.08
499;337;16;8;2018.01.17
500;34;153;13;2017.06.15
501;140;282;15;2017.12.15
502;231;196;1;2017.11.01
503;136;81;11;2017.05.30
504;21;134;16;2017.06.16
505;272;250;12;2017.06.12
506;357;197;9;2017.08.21
507;171;270;17;2017.09.29
508;207;19;18;2017.10.30
509;328;9;7;2017.04.09
510;124;62;15;2017.09.23
511;155;258;14;2017.10.30
512;145;167;17;2017.11.17
513;269;235;3;2017.11.01
514;179;111;8;2018.01.20
515;374;76;7;2017.09.16
516;88;22;1;2018.02.10
517;137;200;17;2017.08.19
518;73;139;7;2018.02.11
519;290;227;1;2018.01.31
520;3;58;17;2017.03.31
521;130;151;12;2017.06.29
522;228;160;15;2017.10.26
523;350;274;9;2018.01.07
524;398;252;15;2017.08.30
525;249;243;5;2017.04.11
526;89;56;8;2018.01.16
527;49;98;6;2017.04.28
528;134;246;13;2017.11.19
529;330;19;5;2017.06.16
530;377;162;3;2017.07.24
531;183;36;15;2018.01.24
532;124;114;9;2017.09.22
533;244;168;6;2018.01.22
534;353;6;13;2018.01.16
535;278;116;9;2017.08.03
536;403;167;2;2017.11.22
537;283;118;5;2017.12.19
538;134;102;6;2017.04.17
539;77;65;14;2017.04.15
540;107;228;4;2017.02.28
541;352;274;6;2017.08.23
542;266;2;11;2018.01.29
543;31;76;16;2017.04.22
544;331;138;8;2017.09.26
545;402;240;10;2018.02.20
546;6;177;15;2017.07.09
547;345;179;14;2017.09.11
548;64;159;12;2017.05.17
549;336;139;1;2017.11.20
550;164;214;16;2017.10.23
551;375;78;2;2017.05.03
552;176;64;8;2017.04.08
553;262;116;6;2017.04.12
554;338;117;14;2018.02.25
555;247;262;4;2017.07.31
556;313;250;14;2017.12.15
557;193;285;7;2017.11.25
558;206;60;12;2017.02.26
559;153;208;6;2017.05.23
560;264;111;5;2018.02.07
561;309;200;16;2017.08.12
562;185;262;16;2018.02.17
563;120;53;4;2018.01.06
564;355;104;18;2017.04.22
565;371;225;2;2017.08.29
566;70;131;15;2017.06.12
567;241;254;2;2017.10.01
568;161;131;16;2017.05.29
569;111;233;9;2017.11.23
570;132;237;12;2017.03.24
571;282;112;12;2017.11.18
572;304;140;2;2017.12.13
573;403;259;5;2018.02.16
574;343;142;12;2017.11.23
575;27;49;2;2017.11.16
576;108;175;6;2017.05.13
577;239;11;6;2017.06.09
578;290;163;12;2017.08.16
579;117;75;18;2017.10.23
580;45;10;11;2017.10.31
581;151;73;4;2017.09.08
582;342;75;5;2017.09.12
583;151;55;18;2017.08.30
584;126;77;7;2017.10.11
585;83;113;10;2018.01.21
586;200;121;11;2017.02.27
587;362;229;16;2017.09.05
588;407;34;11;2018.02.15
589;390;35;11;2018.01.25
590;274;103;18;2017.04.11
591;388;179;1;2017.06.13
592;359;54;1;2017.07.19
