csapat;versenyzo;eletkor;palya;korido;kor
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:33;24
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:15;25
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:29;26
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:33;27
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:06;28
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:06;29
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:18;30
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:06;31
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:09;32
Versenylovak;Sebes Szilárd;27;Gran Prix Circuit;00:01:24;33
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:18;1
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:15;2
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:20;3
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:22;4
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:27;5
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:28;6
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:30;7
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:26;8
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:20;9
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:08;10
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:18;11
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:12;12
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:13;13
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:09;14
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:32;15
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:09;16
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:12;17
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:07;18
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:20;19
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:20;20
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:25;21
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:20;22
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:15;23
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:14;24
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:32;25
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:08;26
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:18;27
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:25;28
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:11;29
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:28;30
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:21;31
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:31;32
MintaPinty;Szapora Szervác;19;Gran Prix Circuit;00:01:13;33
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:10;1
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:21;2
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:07;3
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:33;4
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:06;5
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:33;6
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:10;7
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:24;8
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:30;9
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:14;10
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:34;11
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:34;12
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:05;13
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:07;14
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:07;15
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:07;16
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:10;17
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:27;18
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:06;19
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:12;20
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:06;21
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:15;22
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:18;23
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:20;24
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:14;25
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:18;26
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:29;27
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:31;28
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:16;29
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:18;30
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:15;31
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:23;32
MintaPinty;Rohanó Róbert;26;Gran Prix Circuit;00:01:14;33
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:29;1
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:28;2
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:24;3
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:28;4
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:14;5
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:12;6
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:13;7
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:29;8
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:16;9
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:15;10
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:14;11
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:19;12
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:28;13
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:22;14
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:23;15
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:19;16
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:33;17
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:06;18
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:08;19
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:32;20
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:06;21
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:19;22
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:11;23
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:11;24
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:33;25
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:16;26
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:24;27
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:08;28
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:09;29
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:25;30
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:27;31
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:26;32
Villámlás;Villámgyors Vilmos;35;Gran Prix Circuit;00:01:10;33
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:34;1
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:13;2
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:19;3
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:21;4
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:08;5
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:25;6
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:07;7
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:20;8
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:07;9
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:29;10
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:26;11
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:05;12
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:20;13
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:26;14
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:20;15
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:31;16
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:09;17
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:10;18
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:22;19
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:12;20
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:25;21
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:28;22
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:33;23
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:12;24
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:14;25
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:34;26
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:17;27
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:13;28
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:25;29
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:17;30
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:23;31
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:24;32
Villámlás;Rapid Roland;28;Gran Prix Circuit;00:01:14;33
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:33;1
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:10;2
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:31;3
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:27;4
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:29;5
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:32;6
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:31;7
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:08;8
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:11;9
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:19;10
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:15;11
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:29;12
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:27;13
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:19;14
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:20;15
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:06;16
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:31;17
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:30;18
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:23;19
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:13;20
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:23;21
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:26;22
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:10;23
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:16;24
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:22;25
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:30;26
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:06;27
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:24;28
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:33;29
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:23;30
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:20;31
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:15;32
SzélTiks;Szélsebes Szerpentínia;27;Gran Prix Circuit;00:01:26;33
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:09;1
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:20;2
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:05;3
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:05;4
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:31;5
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:28;6
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:08;7
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:22;8
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:20;9
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:30;10
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:20;11
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:16;12
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:30;13
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:20;14
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:21;15
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:28;16
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:23;17
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:22;18
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:10;19
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:10;20
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:07;21
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:32;22
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:21;23
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:32;24
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:30;25
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:06;26
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:30;27
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:05;28
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:22;29
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:22;30
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:21;31
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:29;32
SzélTiks;Rohamos Rebeka;26;Gran Prix Circuit;00:01:09;33
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:31;1
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:14;2
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:22;3
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:15;4
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:16;5
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:30;6
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:21;7
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:32;8
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:16;9
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:18;10
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:16;11
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:20;12
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:06;13
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:13;14
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:25;15
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:18;16
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:22;17
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:17;18
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:08;19
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:13;20
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:08;21
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:21;22
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:29;23
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:22;24
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:18;25
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:06;26
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:05;27
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:18;28
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:32;29
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:07;30
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:16;31
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:26;32
RemeteRákok;Lendületes Levente;27;Gran Prix Circuit;00:01:31;33
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:13;1
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:09;2
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:12;3
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:24;4
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:17;5
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:09;6
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:33;7
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:05;8
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:23;9
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:18;10
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:21;11
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:07;12
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:05;13
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:19;14
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:24;15
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:05;16
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:15;17
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:16;18
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:07;19
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:07;20
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:08;21
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:25;22
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:32;23
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:20;24
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:21;25
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:31;26
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:14;27
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:15;28
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:32;29
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:08;30
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:18;31
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:28;32
RemeteRákok;Száguldó Simon;20;Gran Prix Circuit;00:01:14;33
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:11;1
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:27;2
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:29;3
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:26;4
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:18;5
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:12;6
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:24;7
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:26;8
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:13;9
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:33;10
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:16;11
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:21;12
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:07;13
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:14;14
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:34;15
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:08;16
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:26;17
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:19;18
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:13;19
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:24;20
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:20;21
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:25;22
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:30;23
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:24;24
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:05;25
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:06;26
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:19;27
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:19;28
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:23;29
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:06;30
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:29;31
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:12;32
CsigaCsapat;Szélvész Sára;22;Gran Prix Circuit;00:01:07;33
CsigaCsapat;Gyors György;29;Gran Prix Circuit;00:01:07;1
