Ora;Perc;AdasDb;Nev
8;25;2;Gyuri
8;25;1;Imi
8;27;1;Imi
8;27;4;Pityu
8;27;4;Sanyi
8;28;2;Feri
8;28;4;Tomi
8;28;2;Jani
8;31;3;Zsombor
8;32;2;Lali
8;33;1;Sanyi
8;33;2;Tomi
8;33;3;Laci
8;34;3;Józsi
8;39;2;Gyuri
8;43;1;Tomi
8;44;3;Zoli
8;44;2;Csabi
8;45;3;Zoli
8;46;1;Bandi
8;46;3;Gabi
8;47;3;Imi
8;48;3;Zsolti
8;50;2;Józsi
8;50;4;Bandi
8;54;4;Zsolti
9;3;1;Bandi
9;4;2;Bandi
9;5;3;Lali
9;6;2;Feri
9;6;1;Józsi
9;6;1;Zsombor
9;7;4;Lali
9;10;3;Zoli
9;11;4;Gyuri
9;11;3;Imi
9;13;2;Imi
9;16;2;Zsombor
9;17;1;Józsi
9;20;2;Peti
9;21;1;Laci
9;22;3;Gyuri
9;27;3;Feri
9;28;1;Lali
9;28;4;Feri
9;29;1;Gabi
9;30;2;Zoli
9;31;2;Lali
9;32;4;Gyuszi
9;34;1;Gabi
9;34;2;Pityu
9;36;4;Gabi
9;38;4;Józsi
9;39;2;Józsi
9;44;1;Gabi
9;46;2;Sanyi
9;46;3;Bandi
9;48;1;Feri
9;48;3;Imi
9;49;1;Peti
9;53;2;Csabi
9;53;1;Sanyi
9;55;1;Lali
9;55;2;Sanyi
9;55;1;Lali
9;55;4;Sanyi
9;56;3;Feri
9;57;2;Bandi
9;58;4;Zsombor
9;58;2;Bandi
9;59;2;Tomi
10;2;3;Feri
10;2;4;Gyuri
10;2;2;Tomi
10;3;1;Tomi
10;4;1;Jani
10;6;4;Peti
10;6;3;Gabi
10;6;3;Tibi
10;6;4;Peti
10;7;2;Józsi
10;7;3;Gyuszi
10;8;1;Jani
10;8;2;Sanyi
10;8;2;Zsolti
10;11;4;Zsolti
10;12;2;Gyuszi
10;13;1;Peti
10;13;2;Sanyi
10;13;2;Zsombor
10;14;2;Sanyi
10;15;1;Zoli
10;16;2;Tomi
10;18;3;Gyuszi
10;18;3;Csabi
10;19;3;Csabi
10;21;1;Csabi
10;22;1;Csabi
10;24;2;Peti
10;25;4;Sanyi
10;26;2;Pityu
10;26;3;Zsolti
10;26;1;Gabi
10;32;4;Gabi
10;32;2;Zsolti
10;33;3;Gabi
10;33;2;Tibi
10;33;3;Feri
10;33;2;Csabi
10;34;3;Laci
10;34;2;Gyuri
10;39;3;Laci
10;39;1;Sanyi
10;41;2;Zsolti
10;41;1;Csabi
10;41;2;Zsombor
10;41;3;Lali
10;42;4;Zoli
10;44;3;Sanyi
10;45;4;Jani
10;45;2;Gyuszi
10;46;4;Zsombor
10;51;4;Peti
10;51;2;Imi
10;52;3;Gabi
10;53;2;Imi
10;53;2;Gabi
10;55;3;Pityu
10;58;1;Csabi
10;58;1;Gabi
11;3;1;Sanyi
11;3;2;Józsi
11;5;3;Lali
11;6;4;Tomi
11;6;4;Lali
11;10;2;Feri
11;10;2;Tibi
11;10;1;Laci
11;10;2;Peti
11;11;4;Lali
11;13;2;Tomi
11;15;3;Tomi
11;15;4;Sanyi
11;17;3;Csabi
11;18;2;Imi
11;18;3;Tomi
11;19;1;Zoli
11;20;1;Sanyi
11;20;4;Gyuri
11;23;1;Feri
11;23;3;Zoli
11;24;4;Laci
11;24;3;Peti
11;25;3;Bandi
11;25;4;Zsombor
11;25;2;Zoli
11;27;1;Jani
11;27;3;Csabi
11;28;1;Tomi
11;28;2;Pityu
11;34;3;Lali
11;35;1;Jani
11;37;2;Sanyi
11;37;1;Laci
11;38;4;Csabi
11;42;2;Sanyi
11;46;1;Feri
11;46;1;Jani
11;47;2;Sanyi
11;48;3;Zsolti
11;51;2;Tibi
11;51;4;Gabi
11;54;2;Pityu
11;56;3;Sanyi
11;57;1;Gyuszi
11;57;1;Lali
11;57;1;Gyuri
11;57;4;Sanyi
11;58;2;Tibi
11;58;2;Csabi
12;2;3;Zoli
12;3;3;Csabi
12;4;2;Pityu
12;5;2;Józsi
12;7;2;Csabi
12;7;1;Zsolti
12;8;1;Imi
12;12;3;Gyuszi
12;12;3;Lali
12;13;4;Gabi
12;13;3;Pityu
12;13;3;Tomi
12;13;1;Laci
12;14;2;Tibi
12;14;4;Gyuri
12;17;2;Gabi
12;17;4;Feri
12;18;3;Zoli
12;18;1;Zsombor
12;19;2;Gyuri
12;25;1;Gyuri
12;25;4;Zoli
12;29;2;Gyuszi
12;30;3;Tomi
12;30;4;Laci
12;31;3;Imi
12;32;3;Feri
12;34;1;Lali
12;34;1;Zoli
12;35;1;Tibi
12;36;4;Imi
12;37;2;Feri
12;37;2;Jani
12;39;1;Lali
12;40;3;Tomi
12;40;1;Tomi
12;41;4;Jani
12;41;3;Lali
12;42;1;Sanyi
12;45;2;Csabi
12;48;1;Zoli
12;48;4;Józsi
12;52;2;Imi
12;53;1;Tomi
12;56;2;Lali
12;58;2;Bandi
12;59;2;Laci
13;1;4;Jani
13;1;1;Gabi
13;1;3;Lali
13;4;2;Sanyi
13;5;4;Feri
13;5;1;Peti
13;10;2;Gyuri
13;11;3;Sanyi
13;15;1;Tomi
13;15;1;Feri
13;17;1;Bandi
13;19;1;Zoli
13;20;4;Csabi
13;21;1;Gyuszi
13;22;3;Zoli
13;23;1;Bandi
13;23;3;Bandi
13;24;3;Tibi
13;24;2;Jani
13;26;3;Gabi
13;26;4;Gyuszi
13;27;2;Zsombor
13;27;3;Imi
13;33;4;Gabi
13;33;1;Feri
13;33;3;Zsolti
13;34;2;Pityu
13;34;1;Lali
13;35;3;Gabi
13;37;1;Zsombor
13;38;3;Bandi
13;44;3;Jani
13;47;2;Peti
13;55;2;Tibi
13;55;3;Csabi
13;57;1;Gyuri
